elapsed_s,total_sent_bytes,total_recv_bytes,delta_sent_bps,delta_recv_bps,delta_total_bps,delta_sent_gbps,delta_recv_gbps,delta_total_gbps,uploaded_bytes,uploaded_gbps_from_callback
0.253133,113699578816,1452183960034,2792839.223,98077674.424,100870513.647,0.002792839,0.098077674,0.100870514,0,0.000000000
0.503471,113699649883,1452187039889,2271072.765,98422260.822,100693333.586,0.002271073,0.098422261,0.100693334,0,0.000000000
0.753813,113699723285,1452190120790,2345656.849,98454218.305,100799875.154,0.002345657,0.098454218,0.100799875,14072,0.000449689
1.004157,113699797999,1452193202124,2387563.314,98467221.909,100854785.223,0.002387563,0.098467222,0.100854785,14072,0.000000000
1.254505,113700094896,1452196278797,9487491.605,98316619.096,107804110.702,0.009487492,0.098316619,0.107804111,18265,0.000133989
1.504817,113701077654,1452199350813,31409041.184,98181929.898,129590971.083,0.031409041,0.098181930,0.129590971,405133,0.012364339
1.755167,113701212054,1452202431135,4294787.641,98432506.368,102727294.009,0.004294788,0.098432506,0.102727294,405133,0.000000000
2.005502,113701948614,1452205505380,23538394.651,98244259.889,121782654.540,0.023538395,0.098244260,0.121782655,405133,0.000000000
2.255835,113702200786,1452208582589,8058763.280,98339620.951,106398384.231,0.008058763,0.098339621,0.106398384,405133,0.000000000
2.506162,113703863260,1452211654067,53129688.818,98158930.818,151288619.636,0.053129689,0.098158931,0.151288620,405133,0.000000000
2.756497,113706728789,1452214709433,91574280.002,97640938.756,189215218.758,0.091574280,0.097640939,0.189215219,405133,0.000000000
3.006831,113708188465,1452217777572,46647234.609,98049292.957,144696527.566,0.046647235,0.098049293,0.144696528,405133,0.000000000
3.257190,113708503893,1452220856718,10079251.344,98391666.116,108470917.460,0.010079251,0.098391666,0.108470917,405133,0.000000000
3.507517,113708575950,1452223936599,2302809.917,98427363.179,100730173.095,0.002302810,0.098427363,0.100730173,409326,0.000134001
3.757849,113708968894,1452227017450,12557539.473,98456543.537,111014083.010,0.012557539,0.098456544,0.111014083,1961161,0.049592892
4.008169,113709686398,1452230094592,22930783.293,98342694.068,121273477.361,0.022930783,0.098342694,0.121273477,1961161,0.000000000
4.258502,113710419585,1452233166646,23430776.175,98174967.194,121605743.369,0.023430776,0.098174967,0.121605743,1961161,0.000000000
4.508817,113710491972,1452236237028,2313467.171,98128503.189,100441970.361,0.002313467,0.098128503,0.100441970,1961161,0.000000000
4.759172,113710570918,1452239318475,2522683.342,98466230.273,100988913.615,0.002522683,0.098466230,0.100988914,1961161,0.000000000
5.009494,113710641972,1452242397488,2270805.591,98401778.030,100672583.622,0.002270806,0.098401778,0.100672584,1965354,0.000134004
5.259833,113712432360,1452245474649,57214785.602,98335727.718,155550513.320,0.057214786,0.098335728,0.155550513,4009672,0.065329535
5.510172,113712926826,1452248541667,15801506.395,98011803.727,113813310.122,0.015801506,0.098011804,0.113813310,4009672,0.000000000
5.760509,113713000295,1452251619428,2347843.961,98355804.179,100703648.140,0.002347844,0.098355804,0.100703648,4009672,0.000000000
6.010854,113713154769,1452254701149,4936363.973,98479333.210,103415697.183,0.004936364,0.098479333,0.103415697,4009672,0.000000000
6.261180,113713227278,1452257780125,2317257.907,98398564.073,100715821.980,0.002317258,0.098398564,0.100715822,4085677,0.002428984
6.511507,113715022414,1452260860682,57369350.747,98449117.520,155818468.267,0.057369351,0.098449118,0.155818468,7231405,0.100531867
6.761824,113717427008,1452263926149,76849801.002,97971020.858,174820821.860,0.076849801,0.097971021,0.174820822,7957021,0.023190379
7.012146,113717499220,1452266993337,2307806.616,98023552.285,100331358.900,0.002307807,0.098023552,0.100331359,7957021,0.000000000
7.262473,113717571334,1452270074593,2304634.009,98471411.483,100776045.492,0.002304634,0.098471411,0.100776045,7957021,0.000000000
